iter	RMSE
0	11761.99656
1	11415.16813
2	11091.99222
3	10818.18008
4	10509.2114
5	10263.13887
6	10014.14023
7	9755.086193
8	9497.415297
9	9247.445128
10	9010.872484
11	8769.190421
12	8549.383482
13	8355.162112
14	8159.234113
15	7992.255123
16	7818.775524
17	7666.413785
18	7487.77251
19	7334.428488
20	7166.512854
21	7014.465972
22	6867.225879
23	6737.109712
24	6604.170597
25	6485.164333
26	6370.500667
27	6261.53974
28	6155.194445
29	6070.384249
30	5974.182238
31	5882.362819
32	5796.358766
33	5713.301095
34	5637.095211
35	5569.035954
36	5508.648775
37	5447.476812
38	5390.295661
39	5333.232324
40	5279.16662
41	5226.406375
42	5180.360653
43	5129.351018
44	5079.607369
45	5034.583275
46	4995.59651
47	4952.013223
48	4926.598967
49	4890.597605
50	4861.212184
51	4829.453822
52	4796.664711
53	4770.796117
54	4740.87438
55	4711.968496
56	4688.297988
57	4665.523546
58	4640.994308
59	4615.544218
60	4593.330857
61	4573.773563
62	4557.0719
63	4537.3109
64	4516.272121
65	4504.988655
66	4492.806649
67	4475.791728
68	4465.39791
69	4450.090123
70	4436.304206
71	4423.519473
72	4409.406186
73	4396.298969
74	4384.4369
75	4372.951377
76	4360.212507
77	4349.259756
78	4338.520751
79	4326.808214
80	4316.302106
81	4312.238363
82	4303.514987
83	4294.391005
84	4285.923075
85	4277.002437
86	4270.307791
87	4264.407002
88	4256.962937
89	4248.733919
90	4239.250015
91	4233.72274
92	4227.183147
93	4220.282471
94	4216.569531
95	4210.029644
96	4204.996191
97	4199.816722
98	4196.307075
99	4186.665617
100	4181.870935
101	4174.729223
102	4171.349361
103	4166.713053
104	4163.107216
105	4158.128071
106	4153.742173
107	4147.542286
108	4143.958588
109	4140.891221
110	4138.068311
111	4132.923386
112	4130.064957
113	4122.84246
114	4117.194266
115	4111.135118
116	4107.69667
117	4102.443803
118	4097.320492
119	4093.297058
120	4089.461449
121	4086.415228
122	4082.648922
123	4077.839025
124	4076.000291
125	4070.563246
126	4067.018386
127	4062.979478
128	4060.055685
129	4057.141266
130	4054.244113
131	4049.329242
132	4045.379781
133	4039.430451
134	4037.188977
135	4032.018631
136	4028.979488
137	4027.018332
138	4021.386588
139	4018.335223
140	4014.246859
141	4010.743635
142	4006.158516
143	4002.51249
144	4002.338371
145	3999.931695
146	3994.518176
147	3992.530435
148	3988.476211
149	3985.802711
150	3979.442219
151	3975.348971
152	3973.537595
153	3969.257014
154	3965.469956
155	3962.059096
156	3958.944757
157	3948.744803
158	3946.186724
159	3941.960993
160	3939.700919
161	3938.37939
162	3933.135143
163	3930.540833
164	3928.569897
165	3928.283291
166	3926.833224
167	3924.802941
168	3923.573684
169	3919.067719
170	3918.432904
171	3914.342664
172	3910.754972
173	3906.699044
174	3905.003627
175	3904.397508
176	3899.714154
177	3898.350804
178	3897.268588
179	3891.410305
180	3888.949855
181	3886.437292
182	3883.195987
183	3879.170019
184	3873.601716
185	3870.766896
186	3867.232312
187	3864.143738
188	3861.526822
189	3854.896868
190	3853.577361
191	3848.989792
192	3845.849029
193	3840.288891
194	3838.109125
195	3836.294872
196	3832.716388
197	3830.61747
198	3825.456139
199	3820.553422
200	3818.544018
201	3813.919592
202	3810.832815
203	3804.78515
204	3801.198748
205	3799.612049
206	3797.695135
207	3795.311453
208	3792.5937
209	3790.744246
210	3790.453082
211	3787.094432
212	3782.410876
213	3779.203223
214	3777.185217
215	3774.271578
216	3772.988039
217	3769.733576
218	3767.297469
219	3764.872018
220	3761.570189
221	3759.445733
222	3754.677827
223	3749.076019
224	3746.977469
225	3745.408643
226	3743.999922
227	3741.059613
228	3739.060127
229	3737.502762
230	3735.287974
231	3732.480619
232	3730.159803
233	3726.757958
234	3724.854875
235	3724.565403
236	3721.363
237	3718.838323
238	3717.919283
239	3714.017135
240	3713.391227
241	3713.084472
242	3712.002049
243	3710.579625
244	3709.064467
245	3707.480283
246	3705.21423
247	3704.157538
248	3703.45811
249	3701.204999
250	3700.674373
251	3699.269404
252	3696.003448
253	3690.69006
254	3689.611685
255	3686.941143
256	3686.052231
257	3683.191549
258	3679.710241
259	3674.630365
260	3673.294519
261	3671.310773
262	3670.12529
263	3668.158486
264	3667.461004
265	3666.342456
266	3664.295057
267	3659.243502
268	3657.087657
269	3651.934419
270	3649.578846
271	3648.106478
272	3645.563206
273	3643.630898
274	3642.215993
275	3641.605835
276	3640.66974
277	3640.021486
278	3637.801998
279	3633.405391
280	3632.780081
281	3630.93452
282	3629.111589
283	3624.58292
284	3622.565338
285	3621.634808
286	3621.020362
287	3619.005481
288	3616.896697
289	3613.662003
290	3613.289983
291	3610.629928
292	3607.395816
293	3605.65372
294	3604.674582
295	3603.259619
296	3599.068138
297	3598.620567
298	3596.916849
299	3592.185335
300	3590.511976
301	3588.465675
302	3586.610901
303	3585.306699
304	3584.044703
305	3582.074978
306	3577.617687
307	3577.186493
308	3576.833701
309	3575.553024
310	3571.220539
311	3568.549116
312	3567.749459
313	3565.157548
314	3564.340643
315	3562.997235
316	3560.784176
317	3556.845692
318	3555.054691
319	3554.645393
320	3550.256901
321	3548.687091
322	3548.078639
323	3545.120221
324	3543.175918
325	3540.158025
326	3536.296667
327	3534.762291
328	3532.088308
329	3527.884003
330	3526.232825
331	3523.430924
332	3521.292654
333	3518.218135
334	3515.817742
335	3513.355271
336	3510.734922
337	3510.159827
338	3508.660069
339	3508.243106
340	3507.870849
341	3506.297644
342	3502.215372
343	3500.690432
344	3498.371757
345	3497.221323
346	3495.787352
347	3491.688696
348	3486.550447
349	3484.027461
350	3481.641362
351	3479.247793
352	3476.880385
353	3475.318591
354	3472.99379
355	3471.922554
356	3470.049708
357	3469.177494
358	3468.404977
359	3466.222086
360	3464.755261
361	3461.536796
362	3458.658252
363	3456.827114
364	3454.856009
365	3451.555132
366	3447.965119
367	3444.86755
368	3442.649514
369	3441.570145
370	3439.342419
371	3435.769589
372	3434.362392
373	3431.616951
374	3429.391012
375	3428.269479
376	3427.567655
377	3422.939844
378	3421.287658
379	3419.16154
380	3417.107683
381	3415.512067
382	3413.252296
383	3411.078
384	3408.940442
385	3406.203334
386	3405.253902
387	3403.175955
388	3401.627272
389	3398.86971
390	3397.150748
391	3395.331124
392	3393.776482
393	3392.268051
394	3390.504431
395	3389.523655
396	3387.192225
397	3386.598845
398	3386.255399
399	3385.676438
400	3384.35424
401	3382.192257
402	3380.675608
403	3378.934731
404	3377.678777
405	3376.606528
406	3374.931495
407	3371.653543
408	3371.082068
409	3369.85977
410	3368.443391
411	3367.909304
412	3365.931462
413	3364.55121
414	3362.863738
415	3361.429721
416	3360.225937
417	3358.882543
418	3357.420349
419	3353.733615
420	3353.214257
421	3350.315437
422	3349.314337
423	3348.187541
424	3347.293079
425	3343.994762
426	3342.412693
427	3341.023508
428	3339.949689
429	3337.28185
430	3334.91949
431	3334.047375
432	3333.531108
433	3333.031545
434	3330.831792
435	3328.594524
436	3327.114659
437	3324.706295
438	3323.67113
439	3320.420487
440	3318.755596
441	3316.486216
442	3314.079478
443	3311.380192
444	3310.146211
445	3306.894541
446	3304.468646
447	3302.432682
448	3300.811549
449	3299.612044
450	3298.615584
451	3296.063681
452	3293.069367
453	3291.929277
454	3289.691683
455	3288.638307
456	3287.015739
457	3285.228861
458	3283.0936
459	3282.162469
460	3279.38694
461	3279.164111
462	3277.787292
463	3276.22307
464	3274.792627
465	3272.753667
466	3271.697772
467	3269.989175
468	3269.0732
469	3267.591332
470	3266.066736
471	3263.409888
472	3262.443863
473	3261.52082
474	3260.748436
475	3259.635099
476	3258.571052
477	3256.668122
478	3254.229111
479	3253.17789
480	3250.902984
481	3249.415914
482	3247.792079
483	3246.700436
484	3245.613356
485	3244.505413
486	3243.637022
487	3241.230285
488	3238.871611
489	3237.115915
490	3236.23441
491	3235.763199
492	3234.843775
493	3233.538878
494	3232.472591
495	3230.196254
496	3227.40559
497	3226.026294
498	3223.825956
499	3223.398519
500	3220.513836
501	3217.77818
502	3215.217185
503	3214.042153
504	3212.622243
505	3212.101169
506	3211.379665
507	3210.244366
508	3208.113226
509	3205.041665
510	3203.484535
511	3202.305078
512	3198.821991
513	3196.943728
514	3196.340192
515	3194.145174
516	3191.92917
517	3191.142586
518	3188.675948
519	3187.549415
520	3185.603551
521	3184.172581
522	3182.878289
523	3182.240039
524	3180.314436
525	3178.541696
526	3177.485736
527	3175.010028
528	3173.449711
529	3172.077192
530	3170.557258
531	3169.867578
532	3168.558571
533	3167.421543
534	3165.589185
535	3163.374693
536	3162.91341
537	3161.303908
538	3160.847452
539	3160.009271
540	3159.184444
541	3157.446836
542	3155.433912
543	3152.668202
544	3152.205051
545	3150.16994
546	3149.301838
547	3147.971125
548	3147.535243
549	3145.85883
550	3145.048971
551	3144.132447
552	3143.339907
553	3142.051859
554	3141.213327
555	3138.447907
556	3137.768528
557	3136.063077
558	3133.961168
559	3133.589633
560	3131.900114
561	3130.826816
562	3129.218453
563	3128.793789
564	3127.866986
565	3126.395258
566	3124.42098
567	3122.325883
568	3120.455314
569	3118.227678
570	3116.211566
571	3113.968516
572	3113.092594
573	3111.693294
574	3110.462367
575	3109.699515
576	3108.897569
577	3107.673962
578	3107.258407
579	3103.790771
580	3103.025253
581	3100.634875
582	3097.337307
583	3092.781734
584	3091.915619
585	3091.724713
586	3090.547958
587	3088.855634
588	3088.113627
589	3087.330142
590	3086.18982
591	3085.201777
592	3081.833416
593	3081.430105
594	3080.083608
595	3078.883043
596	3077.022607
597	3075.185814
598	3073.035966
599	3072.642993
600	3072.007079
601	3071.163748
602	3069.521223
603	3067.303698
604	3066.213993
605	3065.831848
606	3064.399602
607	3063.295369
608	3062.293141
609	3061.124041
610	3058.434986
611	3058.113564
612	3057.796906
613	3055.075554
614	3052.425441
615	3051.592367
616	3050.989638
617	3050.397681
618	3048.427224
619	3048.190109
620	3046.524834
621	3043.207113
622	3042.033409
623	3039.943703
624	3038.074449
625	3036.141382
626	3033.228076
627	3032.92864
628	3031.931185
629	3028.404095
630	3028.12973
631	3027.690838
632	3026.575395
633	3022.39588
634	3022.141716
635	3019.063851
636	3018.917707
637	3016.363253
638	3015.109987
639	3012.539968
640	3011.732726
641	3010.888799
642	3007.710262
643	3005.864709
644	3005.615736
645	3004.883924
646	3004.62738
647	3003.33414
648	3002.329523
649	2999.914703
650	2997.476627
651	2996.182962
652	2994.78074
653	2993.196953
654	2992.927694
655	2989.620319
656	2987.316379
657	2986.41892
658	2983.247481
659	2983.029654
660	2981.931867
661	2980.473011
662	2978.578386
663	2975.540879
664	2975.021198
665	2972.430157
666	2971.063674
667	2970.515249
668	2969.287898
669	2967.926238
670	2966.728659
671	2964.646394
672	2963.144043
673	2960.939149
674	2959.542816
675	2956.764458
676	2955.719371
677	2955.088633
678	2954.259592
679	2953.370925
680	2951.53094
681	2949.929281
682	2948.907164
683	2947.112934
684	2945.746594
685	2944.747956
686	2940.907228
687	2940.113393
688	2939.617298
689	2937.865202
690	2937.674362
691	2937.433092
692	2935.931772
693	2935.714914
694	2933.717893
695	2933.484577
696	2933.029929
697	2932.251358
698	2931.118647
699	2928.05705
700	2925.645879
701	2923.343553
702	2922.801564
703	2920.257785
704	2918.085951
705	2916.964071
706	2915.578574
707	2914.134001
708	2913.512357
709	2910.607366
710	2908.993344
711	2906.24162
712	2904.967814
713	2904.583594
714	2903.795228
715	2902.640022
716	2901.716029
717	2899.456567
718	2897.982902
719	2896.647163
720	2896.516803
721	2895.17675
722	2894.461245
723	2892.064474
724	2889.269229
725	2889.039183
726	2886.896276
727	2886.396437
728	2884.43959
729	2883.655348
730	2883.080926
731	2881.368
732	2880.959565
733	2879.187358
734	2876.9113
735	2876.49846
736	2876.34031
737	2873.937812
738	2873.217663
739	2871.7191
740	2871.241621
741	2870.325097
742	2867.833957
743	2865.621091
744	2863.514178
745	2862.129307
746	2859.381505
747	2857.187484
748	2856.24911
749	2854.850486
750	2852.10511
751	2851.916505
752	2851.140028
753	2850.818773
754	2847.688922
755	2846.690362
756	2845.205719
757	2843.468911
758	2842.451298
759	2840.744816
760	2838.270617
761	2836.421925
762	2836.037056
763	2835.893472
764	2834.87787
765	2832.31676
766	2830.665397
767	2829.811433
768	2828.95821
769	2828.737658
770	2826.225312
771	2825.326692
772	2824.451403
773	2823.254838
774	2822.630578
775	2820.466063
776	2818.555289
777	2816.698017
778	2815.964443
779	2814.924118
780	2814.359581
781	2813.81655
782	2812.898222
783	2809.797889
784	2807.35329
785	2806.461089
786	2805.559426
787	2803.188389
788	2801.794944
789	2799.750073
790	2798.389582
791	2797.481913
792	2796.888973
793	2796.129824
794	2795.841535
795	2794.706957
796	2792.331931
797	2790.677247
798	2788.580519
799	2787.525276
800	2785.348867
801	2784.207483
802	2782.594064
803	2781.628495
804	2781.252962
805	2780.68804
806	2778.647453
807	2776.674846
808	2775.985623
809	2773.444969
810	2771.460047
811	2771.135326
812	2769.981733
813	2767.641824
814	2766.666425
815	2765.908583
816	2764.320792
817	2763.493742
818	2762.938756
819	2760.936718
820	2760.048032
821	2757.645961
822	2757.361552
823	2757.188388
824	2756.944219
825	2755.667539
826	2754.296928
827	2752.479282
828	2751.36192
829	2749.73166
830	2749.259472
831	2747.295461
832	2745.740683
833	2744.515649
834	2743.386603
835	2743.079566
836	2742.88998
837	2742.511049
838	2741.723081
839	2739.809105
840	2737.624604
841	2734.102551
842	2732.575218
843	2730.818667
844	2729.360157
845	2727.782161
846	2727.012072
847	2725.30947
848	2724.277033
849	2723.363275
850	2721.469858
851	2719.95477
852	2718.011332
853	2717.020666
854	2715.953919
855	2714.080905
856	2712.607479
857	2711.132798
858	2709.776068
859	2709.412708
860	2707.105713
861	2706.243654
862	2704.602667
863	2702.726464
864	2701.566665
865	2700.906639
866	2700.728814
867	2699.862184
868	2697.441632
869	2695.862985
870	2695.524349
871	2694.010687
872	2692.68816
873	2689.169965
874	2687.895637
875	2686.855542
876	2686.710522
877	2686.045088
878	2684.294387
879	2683.206428
880	2682.390665
881	2682.261537
